COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;COLLATION_NAME
Ms_Estive_Invernali_Deposito;24;NULL;YES;int;NULL;10;0;NULL;NULL
Note_Stampa;25;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Complete;26;NULL;YES;nvarchar;4;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Car_Vel;27;NULL;YES;nvarchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
EquilibraturaClega;28;NULL;YES;int;NULL;10;0;NULL;NULL
Eq_Tl_4x4_Suv;29;NULL;YES;int;NULL;10;0;NULL;NULL
Ms_Vettura;30;NULL;YES;int;NULL;10;0;NULL;NULL
Ms_Tl_4x4_Suv;31;NULL;YES;int;NULL;10;0;NULL;NULL
Inversione+EquilibraturaClega;32;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Operatore;33;NULL;YES;nvarchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Smaltimento;34;NULL;YES;int;NULL;10;0;NULL;NULL
Conv_Wifi;35;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Sost_Valvole;36;NULL;YES;int;NULL;10;0;NULL;NULL
Prolunghe;37;NULL;YES;int;NULL;10;0;NULL;NULL
Ass_Ruote_Ant;38;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Ass_Completo;39;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Ass_Tl_4x4_Suv;40;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Rip_Veloce;41;NULL;YES;int;NULL;10;0;NULL;NULL
Rip_Pezza;42;NULL;YES;int;NULL;10;0;NULL;NULL
Rip_Tl;43;NULL;YES;int;NULL;10;0;NULL;NULL
Note;44;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_Targa;45;NULL;NO;nvarchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Stato_Commessa;46;NULL;YES;int;NULL;10;0;NULL;NULL
Deposito;47;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Creato;48;(getdate());YES;datetime;NULL;NULL;NULL;3;NULL
Modificato;49;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
Importo;50;NULL;YES;float;NULL;53;NULL;NULL;NULL
pressioneAnt;51;NULL;YES;real;NULL;24;NULL;NULL;NULL
pressionePost;52;NULL;YES;real;NULL;24;NULL;NULL;NULL
pressioneScorta;53;NULL;YES;real;NULL;24;NULL;NULL;NULL
InversionePiu;54;NULL;YES;int;NULL;10;0;NULL;NULL
ControlloPiu;55;NULL;YES;int;NULL;10;0;NULL;NULL
Estive_Invernali_Finite;56;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Porta_Via;57;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Problemi;58;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Urgente;59;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Elaborato;60;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
ArtCodice;61;NULL;YES;nvarchar;80;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
ArtCodicePost;62;NULL;YES;nvarchar;80;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
DotPost;63;NULL;YES;nvarchar;10;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Chiusura;64;NULL;YES;timestamp;NULL;NULL;NULL;NULL;NULL
S_IdPreventivo;65;NULL;YES;int;NULL;10;0;NULL;NULL
S_Promozione;66;NULL;YES;nvarchar;50;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_UsuraFreniAnt;67;NULL;YES;nvarchar;30;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_UsuraFreniPost;68;NULL;YES;nvarchar;30;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
RipCerchio;69;NULL;YES;int;NULL;10;0;NULL;NULL
ValvStag;70;NULL;YES;int;NULL;10;0;NULL;NULL
CerchioTpms;71;NULL;YES;int;NULL;10;0;NULL;NULL
EqMotoSoloCerchi;72;NULL;YES;int;NULL;10;0;NULL;NULL
MontSmontEqSuMoto;73;NULL;YES;int;NULL;10;0;NULL;NULL
MontSmontEqSoloCerchi;74;NULL;YES;int;NULL;10;0;NULL;NULL
S_DaFatturare;75;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_PropietaSeta;76;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_DannoDaUrto;77;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_ConsumoAnomalo;78;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_NScontrino;79;NULL;YES;int;NULL;10;0;NULL;NULL
S_NFattura;80;NULL;YES;int;NULL;10;0;NULL;NULL
S_FatMod;81;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_NRichiestaLc;82;NULL;YES;int;NULL;10;0;NULL;NULL
S_BGR;83;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_NBGR;84;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutRigaturaNormale;85;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutRigaturaSpeciale;86;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutEqBanco;87;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutEqSabbia;88;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutInvSuCerchio;89;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutInvSuAsse;90;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutMS;91;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutRipVeloce;92;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutRipFungo;93;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutMsScorta;94;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutRipPezzaM;95;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutRipPezzaG;96;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutValGommaRinf;97;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutValOttoneLong;98;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutValOttoneShort;99;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutValCerchioLega;100;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutProlPlastica;101;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutProlGomma;102;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutProlGobbi;103;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutProlFermo;104;NULL;YES;int;NULL;10;0;NULL;NULL
S_AutAssettoRuote;105;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_NBolla;106;NULL;YES;int;NULL;10;0;NULL;NULL
S_GommeNuoveCliente;107;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_TPMS;108;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_ODL;109;NULL;YES;varchar;10;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_PresaRiconsVeicolo;110;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_CheckHera;111;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_VerificaAllinAut;112;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_InvAsseVett;113;NULL;YES;int;NULL;10;0;NULL;NULL
S_NReport;114;NULL;YES;varchar;30;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_PuliziaMozzi;115;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_VerificaConvergenza;116;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_LavPressoOffEst;117;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Misura;118;NULL;YES;varchar;10;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Misura_Post;119;NULL;YES;varchar;10;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_NrAutContiCesar;120;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_InListaMensile;121;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
S_FiniteConserva;122;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
S_InvioEmailFiniteConserva;123;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
S_NGaranzia;124;NULL;YES;int;NULL;10;0;NULL;NULL
S_DiffGaranzia;125;NULL;YES;decimal;NULL;8;2;NULL;NULL
S_PerGaranzia;126;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
S_DataCreazDocVen;127;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
NoteSms;128;NULL;YES;varchar;200;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
NrOdlGaranzia;129;NULL;YES;varchar;200;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_UsuraDischiAnt;130;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_UsuraDischiPost;131;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
DataRichiamoSmsFreni;132;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
NoteFreni;133;NULL;YES;varchar;200;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
N_OdlMeccanica;134;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
TergiAnt;135;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
TergiPost;136;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
DataRichiamoSmsTergi;137;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
S_Autista;138;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_Verificata;139;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
S_NoteCreazione;140;NULL;YES;varchar;150;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_NoMozzi;141;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
S_Reparto;142;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_OffMeccEsterna;143;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
PrezzoPastAnt;144;NULL;YES;decimal;NULL;6;2;NULL;NULL
PrezzoPastPost;145;NULL;YES;decimal;NULL;6;2;NULL;NULL
PrezzoDischiAnt;146;NULL;YES;decimal;NULL;6;2;NULL;NULL
PrezzoDischiPost;147;NULL;YES;decimal;NULL;6;2;NULL;NULL
DataRichiamoSms;148;NULL;YES;date;NULL;NULL;NULL;0;NULL
Autista;149;NULL;YES;varchar;50;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_RespCommessa;150;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
ValvolaGomma;151;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
