COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;COLLATION_NAME
V_UltimoControllo;31;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_GiorniUltimoControllo;32;NULL;YES;int;NULL;10;0;NULL;NULL
V_TipiInvioEmail;33;NULL;YES;char;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_InvioEmailUltimoInvio;34;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_DataRichiamoManuale;35;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_NomeUtiliz;36;NULL;YES;varchar;60;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_CognomeUtiliz;37;NULL;YES;varchar;60;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_TelefonoUtiliz;38;NULL;YES;varchar;60;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_EmailUtiliz;39;NULL;YES;varchar;150;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_ScadRevisione;40;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_DataLastOffLimits;41;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_DataLastMozzi;42;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_DatiVerificatiData;43;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_DatiVerificatiUtente;44;NULL;YES;nvarchar;50;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_TipoPercorrenza;45;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_DataIntProg;46;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_StatoVeicoloHera;47;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Cilindrata;48;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Kilowatt;49;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
CodiceMotore;50;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
DataImmatricolazione;51;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
DataUltimaRev;52;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
RagioneSocialeRev;53;NULL;YES;varchar;100;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
NomeRev;54;NULL;YES;varchar;80;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
CognomeRev;55;NULL;YES;varchar;80;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
CellulareRev;56;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
EmailRev;57;NULL;YES;varchar;100;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
IndirizzoRev;58;NULL;YES;varchar;100;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
CapRev;59;NULL;YES;varchar;5;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
ProvinciaRev;60;NULL;YES;varchar;2;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
CittaRev;61;NULL;YES;varchar;60;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
PromemoriaScadTipoInvio;62;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
DataFirmaPrivacy;63;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
FirmaPrivacy;64;NULL;YES;varchar;2;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
NoteSms;65;NULL;YES;varchar;200;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
DataInvioReportManutenz;66;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
InReport;67;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
V_NoMozzi;68;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
V_NoEmail;69;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
V_NoCell;70;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
V_ScadBombole;71;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
